description,price_uninsured,price_insured
1-2-3 PASTE, 	14.35 , 	51.24 
ABLT BN TUMOR(S) INCL SFT TISS W IMAG," 	2,198.84 "," 	7,853.00 "
ABLT LASER THRPY VEIN INIT," 	2,141.72 "," 	7,649.00 "
ABLT PERC LIVER TMR RF," 	1,394.40 "," 	4,980.00 "
ABLTJ PERC CRYOABLTJ IMG GDN LXTR/PERPH NERVE," 	3,486.00 "," 	12,450.00 "
ABOBOTULINUMTOXINA 300 UNIT INTRAMUSCULAR SOLUTION, 	839.06 ," 	2,996.63 "
ABORTION INDUCED BY D&C," 	1,616.72 "," 	5,774.00 "
ABORTION INDUCED BY D&C - RYAN CLINIC," 	1,616.72 "," 	5,774.00 "
ABORTION INDUCED BY DIL&EVAC," 	1,616.72 "," 	5,774.00 "
"ABSORBER, FEMORAL CANAL SUCTION STD 19MM", 	120.54 , 	430.49 
"ABUTMENT, BA300 6MM"," 	2,077.32 "," 	7,419.01 "
"ABUTMENT, BA300 9MM"," 	2,379.61 "," 	8,498.59 "
"ABUTMENT, BA400 10MM"," 	2,636.86 "," 	9,417.36 "
"ABUTMENT, BA400 12MM"," 	2,636.86 "," 	9,417.36 "
"ABUTMENT, BA400 14MM"," 	2,636.86 "," 	9,417.36 "
"ABUTMENT, BA400 6MM"," 	2,636.86 "," 	9,417.36 "
"ABUTMENT, BA400 8MM"," 	2,636.86 "," 	9,417.36 "
"ABUTMENT, BAHA BA300 12MM"," 	2,379.61 "," 	8,498.59 "
"ABUTMENT, BAHA STANDARD 4.0MM", 	643.13 ," 	2,296.91 "
"ABUTMENT, BAHA STANDARD 5MM", 	643.13 ," 	2,296.91 "
"ABUTMENT, BL RC HEALING CONICAL 5X6MM", 	96.82 , 	345.80 
"ABUTMENT, FLANGE FIXTURE BA210 5.5MM"," 	2,195.75 "," 	7,841.95 "
"ABUTMENT, FLANGE FIXTURE BA210 8.5MM"," 	2,341.01 "," 	8,360.75 "
"ABUTMENT, HEALING UNIGRIP VISTAFIX 7MM", 	771.76 ," 	2,756.29 "
"ABUTMENT, PONTO 10 MM"," 	2,860.03 "," 	10,214.40 "
"ABUTMENT, PONTO 12MM"," 	2,860.03 "," 	10,214.40 "
"ABUTMENT, PONTO 14 MM"," 	2,860.03 "," 	10,214.40 "
"ABUTMENT, PONTO 6MM"," 	2,860.03 "," 	10,214.40 "
"ABUTMENT, PONTO 9MM"," 	2,860.03 "," 	10,214.40 "
"ABUTMENT, STANDARD VISTAFIX 3MM", 	692.66 ," 	2,473.80 "
"ABUTMENT, STANDARD VISTAFIX 7MM", 	744.80 ," 	2,660.00 "
"ABUTMENT, VISTAFIX VXA300 3.5MM", 	758.91 ," 	2,710.38 "
"ABUTMENT, VISTAFIX VXA300 4.5MM", 	758.91 ," 	2,710.38 "
"ABUTMENT, VISTAFIX VXA300 6.0MM", 	758.91 ," 	2,710.38 "
"ABUTMENT, VISTAFIX VXA300 7.5MM", 	758.91 ," 	2,710.38 "
"ABUTMENT, VISTAFIX VXA300 HEALING", 	887.53 ," 	3,169.76 "
"ACCESSORY, DRIVE LINE BLUE HDE", 	767.14 ," 	2,739.80 "
"ACCESSORY, DRIVE LINE RED HDE", 	767.14 ," 	2,739.80 "
"ACCESSORY, HVAD PUMP IDE"," 	5,883.92 "," 	21,014.00 "
"ACCESSORY, IMPLANT PUMP HVAD HEARTWARE"," 	7,894.88 "," 	28,196.00 "
"ACCESSORY, NAVIGATOR GPS COPILOT", 	47.83 , 	170.83 
"ACCESSORY, SCOPE  RETROGRADE 90CM", 	588.39 ," 	2,101.40 "
"ACCESSORY, SCOPE DISCOVERY SB LOW 118CM", 	737.35 ," 	2,633.40 "
"ACCESSORY, SLITTER UNIVERSAL", 	47.67 , 	170.24 
"ACCESSORY, SMART THERMAL DRAPE & TIP", 	39.13 , 	139.76 
"ACCESSORY, STYLET MODEL 6601 .014X59CM", 	67.03 , 	239.40 
"ACCESSORY, TORQMAX SHEATH GRIP", 	182.48 , 	651.70 
"ACCESSORY, WRENCH TORQUE", 	134.06 , 	478.80 
"ACCULITE, ANGLED 200", 	223.44 , 	798.00 
"ACCULITE, STRAIGHT 200IN", 	115.22 , 	411.50 
ACELLULAR DERM MATRIX IMPLT, 	383.32 ," 	1,369.00 "
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION", 	56.53 , 	201.91 
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV CUSTOM", 	55.97 , 	199.89 
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV CUSTOM", 	55.97 , 	199.90 
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY, 	0.77 , 	2.75 
ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLN (DUHS), 	8.08 , 	28.85 
ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLN (DUHS), 	8.08 , 	28.86 
ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLN (DUHS), 	20.20 , 	72.13 
ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLN (DUHS), 	20.20 , 	72.14 
ACETAMINOPHEN 160 MG/5 ML ORAL LIQUID (SUGAR FREE), 	6.47 , 	23.09 
ACETAMINOPHEN 160 MG/5 ML ORAL SUSP (DUHS), 	3.43 , 	12.24 
ACETAMINOPHEN 160 MG/5 ML ORAL SUSP (DUHS), 	4.23 , 	15.12 
ACETAMINOPHEN 160 MG/5 ML ORAL SUSPENSION, 	2.02 , 	7.20 
ACETAMINOPHEN 325 MG TABLET, 	0.02 , 	0.08 
ACETAMINOPHEN 80 MG/0.8 ML ORAL DROPS, 	4.33 , 	15.46 
ACETAMINOPHEN 80 MG/0.8 ML ORAL DROPS, 	4.53 , 	16.20 
ACETAMINOPHEN ASSAY, 	68.32 , 	244.00 
ACETAZOLAMIDE 25 MG/ML ORAL SUSP, 	19.13 , 	68.32 
ACETAZOLAMIDE 25 MG/ML ORAL SUSP, 	57.39 , 	204.96 
ACETAZOLAMIDE 250 MG TABLET, 	4.64 , 	16.58 
ACETAZOLAMIDE 250 MG TABLET, 	6.75 , 	24.09 
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION, 	21.25 , 	75.88 
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION, 	21.25 , 	75.89 
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION, 	43.54 , 	155.49 
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION, 	83.32 , 	297.56 
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION, 	83.32 , 	297.56 
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE", 	2.46 , 	8.77 
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE", 	2.46 , 	8.78 
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE", 	4.99 , 	17.84 
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE", 	4.99 , 	17.84 
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE", 	5.00 , 	17.84 
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE", 	6.27 , 	22.40 
ACETAZOLAMIDE IV SYRINGE IN SW 50 MG/ML, 	167.73 , 	599.02 
ACETIC ACID (BULK) 3 % LIQUID, 	27.33 , 	97.60 
ACETIC ACID (BULK) 5 % LIQUID, 	29.04 , 	103.70 
ACETIC ACID 2 % EAR SOLUTION, 	24.67 , 	88.12 
ACETIC ACID 2 % EAR SOLUTION, 	24.67 , 	88.12 
ACETIC ACID 3 % SOLN (IN ETHYL ALCOHOL 95%), 	21.16 , 	75.58 
ACETIC ACID 3 % SOLN (NON-STERILE), 	23.91 , 	85.40 
ACETIC ACID 3 % TOP SOLN (STERILE), 	22.20 , 	79.30 
ACETIC ACID 5 % SOLN (NON-STERILE), 	3.07 , 	10.98 
ACETIC ACID 5 % SOLN (NON-STERILE), 	5.12 , 	18.30 
ACETIC ACID 5 % SOLN (NON-STERILE), 	15.37 , 	54.90 
ACETIC ACID 5 % TOP SOLN (STERILE), 	6.56 , 	23.43 
ACETIC ACID 5 % TOP SOLN (STERILE), 	29.04 , 	103.70 
ACETYLCHOLINE 10% FOR QSART, 	9.69 , 	34.59 
ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) INTRAOCULAR KIT, 	151.65 , 	541.62 
ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) INTRAOCULAR KIT, 	151.65 , 	541.62 
ACETYLCHOLINE RECEPTOR BINDING AB, 	78.68 , 	281.00 
ACETYLCYSTEINE 10% OPHTH SOLN, 	6.66 , 	23.79 
ACETYLCYSTEINE 100 MG/ML (10 %) ORAL SYRINGE, 	64.90 , 	231.80 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	4.44 , 	15.86 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	5.55 , 	19.83 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	5.55 , 	19.83 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	6.48 , 	23.13 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	6.48 , 	23.14 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	9.11 , 	32.55 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	9.84 , 	35.14 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	11.73 , 	41.91 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	11.73 , 	41.91 
ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION, 	15.01 , 	53.62 
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION, 	118.06 , 	421.64 
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION, 	144.91 , 	517.52 
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION, 	154.64 , 	552.30 
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION, 	154.69 , 	552.48 
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION, 	333.26 ," 	1,190.23 "
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION, 	333.27 ," 	1,190.24 "
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION (CUSTOM), 	154.64 , 	552.29 
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION (CUSTOM), 	154.69 , 	552.48 
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION (CUSTOM), 	288.63 ," 	1,030.84 "
ACETYLCYSTEINE 200 MG/ML (20 %) ORAL SYRINGE, 	9.91 , 	35.38 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	8.38 , 	29.92 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	8.87 , 	31.70 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	8.88 , 	31.70 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	10.45 , 	37.33 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	10.46 , 	37.34 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	11.50 , 	41.06 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	12.69 , 	45.33 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	15.42 , 	55.08 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	15.88 , 	56.73 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	17.83 , 	63.69 
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION, 	21.78 , 	77.78 
ACHR GANGLIONIC NEURONAL AB, 	29.12 , 	104.00 
ACID PHOSPHATASE TOTAL, 	33.94 , 	121.20 
ACITRETIN 10 MG CAPSULE, 	70.74 , 	252.65 
ACNE SURGERY, 	42.56 , 	152.00 
ACQUISITION & TEST - REG 163/LIC CBU," 	35,791.00 "," 	127,825.00 "
ACQUISITION & TEST - REG 180/LIC CBU," 	31,591.00 "," 	112,825.00 "
ACQUISITION & TEST - REG 195/LIC CBU," 	38,591.00 "," 	137,825.00 "
ACQUISITION & TEST - REG CK," 	32,291.00 "," 	115,325.00 "
ACQUISITION &TEST REG 162 (2ND CBU IF ORDERED FOR SAME PATIENT)," 	14,395.64 "," 	51,413.00 "
ACQUISITION &TEST-REG 173 (2ND CBU IF ORDERED FOR SAME PATIENT)," 	2,495.64 "," 	8,913.00 "
ACTH, 	142.52 , 	509.00 
ACTHIB (PF) 10 MCG/0.5 ML INTRAMUSCULAR SOLUTION, 	16.65 , 	59.48 
ACTIGRAPHY, 	80.64 , 	288.00 
ACTINOTHERAPY, 	15.54 , 	55.50 
ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSPENSION, 	22.96 , 	81.99 
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION, 	32.38 , 	115.66 
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION, 	32.38 , 	115.66 
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION, 	32.38 , 	115.66 
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION, 	48.78 , 	174.22 
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION, 	48.78 , 	174.22 
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION, 	48.78 , 	174.22 
ACTIVATED CHARCOAL-SORBITOL 50 GRAM/240 ML ORAL SUSPENSION, 	32.38 , 	115.66 
ACTIVATED CHARCOAL-SORBITOL 50 GRAM/240 ML ORAL SUSPENSION, 	32.38 , 	115.66 
ACTIVATED CHARCOAL-SORBITOL 50 GRAM/240 ML ORAL SUSPENSION, 	32.38 , 	115.66 
ACTIVATED CHARCOAL-SORBITOL 50 GRAM/240 ML ORAL SUSPENSION, 	55.34 , 	197.64 
"ACTIVATOR, CLIP PULSE M5", 	819.28 ," 	2,926.00 "
"ACTIVATOR, DIRECT DRV F/MAND DISTRACTOR", 	617.75 ," 	2,206.26 "
"ACTIVATOR, PATIENT F/MRI", 	446.88 ," 	1,596.00 "
ACUPUNCTURE W ESTIM INITIAL 15MIN, 	14.00 , 	50.00 
ACUPUNCTURE WO ESTIM INITIAL 15MIN, 	14.00 , 	50.00 
ACUTE HEPATITIS PANEL, 	205.80 , 	735.00 
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION, 	4.27 , 	15.25 
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION, 	16.60 , 	59.30 
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION, 	34.16 , 	122.00 
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION, 	481.50 ," 	1,719.64 "
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION, 	481.50 ," 	1,719.64 "
ACYCLOVIR 5 % TOPICAL CREAM," 	1,282.47 "," 	4,580.25 "
ACYCLOVIR 5 % TOPICAL OINTMENT, 	233.45 , 	833.75 
ACYCLOVIR 5 % TOPICAL OINTMENT, 	363.14 ," 	1,296.92 "
ACYCLOVIR 5 % TOPICAL OINTMENT," 	1,236.58 "," 	4,416.34 "
ACYCLOVIR 5 % TOPICAL OINTMENT," 	1,284.23 "," 	4,586.53 "
ACYCLOVIR IV SYRINGE IN D5W 7 MG/ML (PERIPHERAL), 	4.27 , 	15.27 
ACYCLOVIR IV SYRINGE IN D5W 7 MG/ML (PERIPHERAL), 	4.28 , 	15.27 
ACYCLOVIR LEVEL, 	85.96 , 	307.00 
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION, 	5.14 , 	18.36 
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION, 	6.03 , 	21.53 
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION, 	6.03 , 	21.54 
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION, 	10.28 , 	36.72 
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION, 	10.28 , 	36.73 
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION, 	12.06 , 	43.07 
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION, 	12.06 , 	43.07 
ACYCLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION, 	4.28 , 	15.27 
ACYLCARNITINE QUANT, 	125.44 , 	448.00 
ACYLCARNITINE QUANT COMBO, 	125.44 , 	448.00 
ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS PEN KIT," 	3,922.32 "," 	14,008.27 "
ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS SYRINGE KIT," 	3,922.30 "," 	14,008.22 "
ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS SYRINGE KIT," 	3,922.30 "," 	14,008.23 "
ADAPALENE 0.1 % LOTION, 	780.78 ," 	2,788.51 "
ADAPALENE 0.1 % TOPICAL CREAM, 	257.64 , 	920.13 
ADAPALENE 0.1 % TOPICAL CREAM, 	474.77 ," 	1,695.59 "
ADAPALENE 0.1 % TOPICAL GEL, 	937.15 ," 	3,346.98 "
ADAPALENE 0.3 % TOPICAL GEL, 	443.95 ," 	1,585.52 "
ADAPALENE 0.3 % TOPICAL GEL WITH PUMP, 	884.04 ," 	3,157.30 "
"ADAPTER, AC CONTROLLER HVAD HEARTWARE"," 	1,489.60 "," 	5,320.00 "
"ADAPTER, AC MONITOR HVAD HEARTWARE"," 	1,787.52 "," 	6,384.00 "
"ADAPTER, ALARM", 	409.64 ," 	1,463.00 "
"ADAPTER, ASCENT-LE LATERAL OFFSET"," 	1,306.38 "," 	4,665.64 "
"ADAPTER, AXIIIS STEREOTACT MINIFRAME", 	111.72 , 	399.00 
"ADAPTER, CARTRIDGE THREADED", 	77.46 , 	276.64 
"ADAPTER, CATH TYPE-II SAFE-LOCK", 	60.33 , 	215.46 
"ADAPTER, CHOLANGIOGRAPHY 3-WAY ST", 	46.18 , 	164.92 
"ADAPTER, CLEAN CHANNEL BALLOON EN=580T", 	260.68 , 	931.00 
"ADAPTER, DC CONTROLLER HVAD HEARTWARE"," 	2,979.20 "," 	10,640.00 "
"ADAPTER, DF4 HIGH-VOLTAGE"," 	6,703.20 "," 	23,940.00 "
"ADAPTER, DIALYSIS AD-LOCK TI", 	238.99 , 	853.54 
"ADAPTER, ENDOSCOPE CLEANING 200/400 G-5", 	260.68 , 	931.00 
"ADAPTER, EXTENDER LEAD PACING 45CM", 	595.84 ," 	2,128.00 "
"ADAPTER, FEM HEAD BIOLOX +0MM", 	744.80 ," 	2,660.00 "
"ADAPTER, FEM HEAD BIOLOX +3.5MM", 	744.80 ," 	2,660.00 "
"ADAPTER, FEM HEAD BIOLOX +7MM", 	744.80 ," 	2,660.00 "
"ADAPTER, FEM SIGMA 5D"," 	2,655.96 "," 	9,485.56 "
"ADAPTER, FEM SIGMA NEUT BOLT", 	372.40 ," 	1,330.00 "
"ADAPTER, FEMALE EX-FIX MAC XS", 	537.45 ," 	1,919.46 "
"ADAPTER, FEMUR/TIBIA OFFSET JAM NUT 4MM"," 	1,181.25 "," 	4,218.76 "
"ADAPTER, FORWARD WATER JET", 	110.22 , 	393.63 
"ADAPTER, HAKIM RT-ANG PLASTIC", 	80.69 , 	288.18 
"ADAPTER, HANDSWITCH HARMONIC DISP", 	81.93 , 	292.60 
"ADAPTER, HEAD EXTENDER 7MM", 	81.11 , 	289.67 
"ADAPTER, HEAD FEM ENDO VERSYS +10.5MM", 	163.86 , 	585.20 
"ADAPTER, HEAD FEM ENDO VERSYS +14.0MM", 	163.86 , 	585.20 
"ADAPTER, HEAD FEM ENDO VERSYS +7.0MM", 	74.48 , 	266.00 
"ADAPTER, HEAD HUM STD TPR COMPREHENSIVE", 	259.19 , 	925.68 
"ADAPTER, HEAD LDH L +4 TAPER", 	148.96 , 	532.00 
"ADAPTER, HEAD LDH M 0 12/14-18/20 TAPER", 	148.96 , 	532.00 
"ADAPTER, HEAD LDH XL +8 TAPER", 	148.96 , 	532.00 
"ADAPTER, HEAD METASUL LDH S-4 8/10-18/20", 	148.96 , 	532.00 
"ADAPTER, HIP NECK-LENGTH STAGE1 +6", 	400.70 ," 	1,431.08 "
"ADAPTER, HIP NECK-LENGTH STAGE1 -6", 	400.70 ," 	1,431.08 "
"ADAPTER, HIP NECK-LENGTH STAGE1 STD", 	400.70 ," 	1,431.08 "
"ADAPTER, IDRIVE ENDO GIA STD REPOS", 	59.58 , 	212.80 
"ADAPTER, IDRIVE ENDO GIA XL REPOS", 	71.50 , 	255.36 
"ADAPTER, IPG 8 CHANNEL B 10CM"," 	2,428.05 "," 	8,671.60 "
"ADAPTER, IPG 8-CHANNEL M 10CM"," 	2,428.05 "," 	8,671.60 "
"ADAPTER, IPG 8-CHANNEL M 10CM"," 	2,428.05 "," 	8,671.60 "
"ADAPTER, IPG SJM 8-CHANNEL M 10CM"," 	2,428.05 "," 	8,671.60 "
"ADAPTER, LEAD BLV/BIS-17", 	968.24 ," 	3,458.00 "
"ADAPTER, LEAD PACING 14CM", 	521.36 ," 	1,862.00 "
"ADAPTER, LIGHT CORD WOLFE", 	88.18 , 	314.94 
"ADAPTER, METAPHYSEAL UNION SCREW", 	537.75 ," 	1,920.52 "
"ADAPTER, NITRIC OXIDE F/VDR VENT", 	44.69 , 	159.60 
"ADAPTER, OFFSET TIBIAL SCORPIO 8MM"," 	1,181.25 "," 	4,218.76 "
"ADAPTER, PKG DC HEARTWARE"," 	2,979.20 "," 	10,640.00 "
"ADAPTER, POCKET DBS 1CMX4MM", 	677.77 ," 	2,420.60 "
"ADAPTER, POCKET SYNERGY-TO-ITREL 1X4", 	595.84 ," 	2,128.00 "
"ADAPTER, POCKET SYNERGY-TO-ITREL 2X4"," 	1,266.16 "," 	4,522.00 "
"ADAPTER, PRECISION M8 15CM", 	730.65 ," 	2,609.46 "
"ADAPTER, PRECISION S8 15CM", 	730.65 ," 	2,609.46 "
"ADAPTER, RAIL-END EX-FIX MAC XS", 	253.16 , 	904.13 
"ADAPTER, RING EBI PELVIC UNIV"," 	2,663.40 "," 	9,512.16 "
"ADAPTER, RING FEMALE EX-FIX MAC SM", 	604.63 ," 	2,159.39 "
"ADAPTER, ROTATION MAC FEMALE", 	604.63 ," 	2,159.39 "
"ADAPTER, ROTATION RING MALE", 	537.45 ," 	1,919.46 "
"ADAPTER, SAFETY PACING CABLE EPG", 	59.58 , 	212.80 
"ADAPTER, SCLEROTOMY DSP W/PLUG 20/23GA", 	83.42 , 	297.92 
"ADAPTER, SCLEROTOMY DSP W/PLUG 20/25GA", 	83.42 , 	297.92 
"ADAPTER, SCOPE F/STORZ LS", 	119.17 , 	425.60 
"ADAPTER, SEALING SAFE SHEATH 9.0FRX13CM", 	50.65 , 	180.88 
